
১৭ পৃষ্ঠা, জুনায়েদ ইভান, অ্যাশেজ, ছারপোকা,,,,,,"হঠাৎ করে কেঁদে ওঠে সে
কি যেনো এক কান্না ছিলো
কি যেনো এক আকাশ ছিলো
আকাশটা চুরি হয়ে গেছেআজ আমার মন ভাল নেই!কি যেনো কি হয়ে গেছে আমার
সারাটা আকাশ তারার মেলায়
লাগছেনা ভালো অসুখটা আর
আজ আমার মন ভালো নেই।কথা সব শেষ হয়ে গেছে
নাকি শেষ তুমি করেছিলে?
লাগছে না ভালো জীবনটা আর
আজ আমার মন ভালো নেই।"
 ২৪৪১১৩৯, অঞ্জন দত্ত,, শুনতে কি চাও ?, অঞ্জন দত্ত, অঞ্জন দত্ত,,,,"চাকরিটা আমি পেয়ে গেছি বেলা শুনছো
এখন আর কেউ আটকাতে পারবেনা
সম্বন্ধটা এই বার তুমি ভেস্তে দিতে পারো
মা-কে বলে দাও বিয়ে তুমি করছো না(২)চাকরিটা আমি পেয়ে গেছি বেলা সত্যি
আর মাত্র কয়েকটা মাস ব্যস
স্টার্টিংয়েই ওরা ১১০০ দেবে তিন মাস পরে কনফার্ম
চুপ করে কেন বেলা কিছু বলছো নাএটা কি ২৪৪১১৩৯?
বেলা বোস তুমি পারছো কি শুনতে
১০-১২ বার রং নাম্বার পেরিয়ে তোমাকে পেয়েছি
দেবো না কিছুতেই আর হারাতে
হ্যালো ২৪৪১১৩৯
দিন না ডেকে বেলাকে একটিবার
মিটারে যাচ্ছে বেড়ে এই পাবলিক টেলিফোনের
জরুরি খুব জরুরি দরকারস্বপ্ন এবার হয়ে যাবে বেলা সত্যি
এতোদিন ধরে এতো অপেক্ষা
রাস্তার কতো সস্তা হোটেলে
বদ্ধ কেবিনে বন্দী দুজনে
রুদ্ধশ্বাস কতো প্রতীক্ষা (২)
আর কিছু দিন তারপর বেলা মুক্তি
কসবার ঐ নীল দেওয়ালের ঘর
সাদা-কালো এই জঞ্জালে ভরা মিথ্যে কথার শহরে
তোমার আমার নাল-নীল সংসারএটা কি ২৪৪১১৩৯?
বেলা বোস তুমি পারছো কি শুনতে
১০-১২ বার রং নাম্বার পেরিয়ে তোমাকে পেয়েছি
দেবো না কিছুতেই আর হারাতে
হ্যালো ২৪৪১১৩৯
দিন না ডেকে বেলাকে একটিবার
মিটারে যাচ্ছে বেড়ে এই পাবলিক টেলিফোনের
জরুরি খুব জরুরি দরকারচুপ করে কেন একি বেলা তুমি কাঁদছো
চাকরিটা আমি পেয়ে গেছি সত্যি
কান্নাকাটির হল্লাহাটির সময় গেছে পেরিয়ে
হ্যালো, তুমি শুনতে পাচ্ছো কি(২)
এটা কি ২৪৪১১৩৯?
বেলা বোস তুমি পারছো কি শুনতে
১০-১২ বার রং নাম্বার পেরিয়ে তোমাকে পেয়েছি
দেবো না কিছুতেই আর হারাতে
হ্যালো ২৪৪১১৩৯
দিন না ডেকে বেলাকে একটিবার
মিটারে যাচ্ছে বেড়ে এই পাবলিক টেলিফোনের
জরুরি খুব জরুরি দরকারহ্যালো ২৪৪১১৩৯
২৪৪১১৩৯, ধুর ছাই, ২৪৪১১৩৯
হ্যালো ২৪৪১১৩৯, হ্যালো ২৪৪১১৩৯,
২৪৪১১৩৯, ধুর ছাই, ২৪৪১১৩৯"
 এ শহর, মিশু, শহরতলী, বরাবর শহরতলী, মিশু,,,,,"চোরাবালির শহরে মানুষ ভর্তি মুখোশে
আড়াল করে রাখে মানবিকতার ক্যাকটাসে।
বিষাক্ত-পাশবিক বোধে দৃশ্যপট অবচেতন
গনিকার শরীর জুড়ে চলছে গোপন গমন।
ছুটে চলার বাহনে প্রকাশ্য চুম্বন, অথবা
জৈবিক কোন আচরন…..
এ শহর বিকৃতের, এ শহর যৌনতার;
এ শহর প্রেতাত্মার, এ শহর হস্থমৈথুনের।
এ শহর আত্মহননের, এ শহর মৃত প্রতিমার;
এ শহর লালসার, এ শহর…..তুমিও চাইতে পারো, আমাদের মতো,
এ শহর বদলাতে;
বদলাতে গেলে বদলাতে হবে, অথবা
মৃত্যু নিশ্চিত জেনো আততায়ীর অপঘাতে।
ছুটে চলার বাহনে প্রকাশ্য চুম্বন, অথবা
জৈবিক কোন আচরন…..
এ শহর বিকৃতের, এ শহর যৌনতার;
এ শহর প্রেতাত্মার, এ শহর হস্থমৈথুনের।
এ শহর আত্মহননের, এ শহর মৃত প্রতিমার;
এ শহর লালসার, এ শহর…..তবুও সূর্য উঠে নিসর্গ নগরে,
নাগরিক হাসি চাতক ঠোঁটে।
খোলা কোনো মাঠে, কিশোরীর হাতে,
আবার ফুটপাতে, অথবা রাজপথ
মিছিল-রাঙাতে দৃপ্ত জয়রথে।
এ শহর বিকৃতের, এ শহর যৌনতার;
এ শহর প্রেতাত্মার, এ শহর হস্থমৈথুনের।
এ শহর আত্মহননের, এ শহর মৃত প্রতিমার;
এ শহর লালসার, এ শহর…..এ শহর সৃষ্টিতে, এ শহর সৌম্যতার;
এ শহর কৃষ্টিতে, এ শহর স্বপ্ন বিতরনের।
এ শহর উত্‍সবের, এ শহর নজরুলের,
এ শহর রবীন্দ্রের, এ শহর ভালোবাসার।"
 আজ এই আকাশ, অদিত,, অন্তহীন,, আসিফ ইকবাল,,,,"আজ এই আকাশ কালো হয়ে বৃষ্টি ঝরে তোকেই ধরে
ছন্নছাড়া হয়ে আমি খুঁজি তোরে আপন মনে(২)মাঝে মাঝে মনে পড়ে সেই সব দিনগুলো
তুই ছিলিনা যখন
মাঝে মাঝে কড়া নাড়ে সেই দিনগুলো
তুই ছিলিনা যখন
তুই রবি আমারি তুই ছবি আমারি
তোরে ছাড়া বাঁচি আমি কেমনেআজ এই আকাশ কালো হয়ে বৃষ্টি ঝরে তোকেই ধরে
ছন্নছাড়া হয়ে আমি খুঁজি তোরে আপন মনে“বড় একা আমি নিজের ছায়ার মত
শুন্যতার মত
দীর্ঘশ্বাসের মত
নিঃসঙ্গ বৃক্ষের মত
নির্জন নদীর মত
বিচ্ছিন্ন দ্বীপের মত
মৌন পাহাড়ের মত
আজীবন সাজাপ্রাপ্ত, দণ্ডপ্রাপ্ত আসামীর মত
বড় একা আমি
বড় একা”মেঘে মেঘে কত বেলা
কেটে যায় শুধু বিষাদের বেলা
তুই ছাড়া একা একা
দিন কাটেনা
স্মৃতিরও ছায়ায়তুই রবি আমারি তুই ছবি আমারি
তোরে ছাড়া বাঁচি আমি কেমনেআজ এই আকাশ কালো হয়ে বৃষ্টি ঝরে তোকেই ধরে
ছন্নছাড়া হয়ে আমি খুঁজি তোরে আপন মনে …"
 আজ জন্মদিন তোমার, শাফিন আহমেদ,, দাগ থেকে যায়,,, প্রিন্স মাহমুদ,,,"আজকের আকাশে অনেক তারা, দিন ছিল সূর্যে ভরা,
আজকের জোছনাটা আরো সুন্দর, সন্ধ্যাটা আগুন লাগা
আজকের পৃথিবী তোমার জন্য ভরে থাকা ভালো লাগা
মুখরিত হবে দিন গানে গানে আগামীর সম্ভাবনাতুমি এই দিনে পৃথিবীতে এসেছ ,
শুভেচ্ছা তোমায়
তাই অনাগত ক্ষণ হোক আরো সুন্দর
উচ্ছল দিন কামনায়আজ জন্মদিন তোমারতোমার জন্য এই রোদেলা স্বপ্ন সকাল
তোমার জন্য হাসে অনরল স্নিগ্ধ বিকেল
ভালবাসা নিয়ে নিজে তুমি, ভালোবাসো সব সৃষ্টিকে তুমি এই দিনে পৃথিবীতে এসেছ ,
শুভেচ্ছা তোমায়
তাই অনাগত ক্ষণ হোক আরো সুন্দর
উচ্ছল দিন কামনায়আজ জন্মদিন তোমারতোমার জন্য ফোঁটা পৃথিবীর সব গোলাপ
তোমার জন্য এই কবিতা নয় সে প্রলাপ
আলোকিত হয়ে নিজে তুমি, আলোকিত কর পৃথিবীকে তুমি এই দিনে পৃথিবীতে এসেছ ,
শুভেচ্ছা তোমায়
তাই অনাগত ক্ষণ হোক আরো সুন্দর
উচ্ছল দিন কামনায়আজ জন্মদিন তোমার"
 আজ নিশীথে অভিসার তোমারি পথে প্রিয়তম,,,,,,,,,"আজ নিশীথে অভিসার তোমারি পথে প্রিয়তম।
বনের পারে নিরালায় দিও হে দেখা নিরুপম।।
সুদূর নদীর ধারে নিরালাতে বালুচরে
চখার তরে যথা একা চখি কেঁদে মরে
সেথা সহসা আসিও গোপন প্রিয় স্বপন সম।।
তোমারি আশায় ঘুরি শত গ্রহে শত লোকে,
(ওগো) আমারি বিরহ জাগে বিরহী চাঁদের চোখে,
আকুল পাথার নিরাশার পারায়ে এসো প্রাণে মম।।"
 আলস্য," সুরঙ্গনা বন্দ্যোপাধ্যায় (মুভি), অনুপম রয় (অ্যালবাম)",, দূরবীনে চোখ রাখবো না, অনুপম রয়, অনুপম রয়,,, উমা,"সেই গ্রীষ্মের সকালগুলোতে
পর্দা ঠেলে সরিয়ে
হাওয়া দিল ভাসিয়ে
হাওয়া দিল ভাসিয়ে
তখন আমার এ বিছানা ঘুম
ছাড়েনি চোখের কোল
আর হাওয়াতে লাগালো দোল
হাওয়াতে লাগালো দোলতখন আবার এ মন জাগে
কোন অচেনা সংরাগে
যেন তুলো সেজে আকাশ পথে দিতে হবে পাড়িতুমি আঁচল পেতে রাখো না
আমি আসছি চলে
তুমি চোখ বুঁজো না, বুঁজো না
আমি এলাম বলে।এখনো সময় অনেক বাকি, ও ও ও ও ও ও …আমার মনের এ গোপন পথে
আজও সে বাউন্ডুলে
চোখ রেখে কাটা ঘুড়িতে
হঠাৎ যায় হারিয়ে
আমার মনের গভীরতাকে
অনুভূতির আঙুলে
স্পর্শ করে দেখোনি
স্পর্শ করে দেখোনিতখন আবার এ মন জাগে
কোন অচেনা সংরাগে
যেন তুলো সেজে আকাশ পথে দিতে হবে পাড়িতুমি আঁচল পেতে রাখো না
আমি আসছি চলে
তুমি চোখ বুঁজো না, বুঁজো না
আমি এলাম বলে।এখনো সময় অনেক বাকি, ও ও ও ও ও ও …"
 আমাকে আমার মতো থাকতে দাও, অনুপম রায়,, দূরবীনে চোখ রাখবো না, অনুপম রায়, অনুপম রায়,,, অটোগ্রাফ,"আমাকে আমার মতো থাকতে দাও,
আমি নিজেকে নিজের মতো গুছিয়ে নিয়েছি।আমাকে আমার মতো থাকতে দাও,
আমি নিজেকে নিজের মতো গুছিয়ে নিয়েছি।
যেটা ছিলনা ছিলনা সেটা না পাওয়াই থাক,
সব পেলে নষ্ট জীবন।তোমার এই দুনিয়ার ঝাপসা আলোয়,
কিছু সন্ধ্যের গুড়ো হওয়া কাচের মতো।
যদি উড়ে যেতে চাও তবে গা ভাসিয়ে দাও,
দূরবীণে চোখ রাখবো না না না (না না না না না না না)।এই জাহাজ মাস্তুল ছাড়খার,
তবু গল্প লিখছি বাঁচবার।
আমি রাখতে চাইনা আর তার,
কোন রাত-দূপুরের আবদার।
তাই চেষ্টা করছি বারবার,
সাঁতরে পাড় খোঁজার।কখনো আকাশ বেয়ে চুপ করে,
যদি নেমে আসে ভালবাসা খুব ভোরে।
চোখ ভাঙ্গা ঘুমে তুমি খুজোনা আমায়,
আশেপাশে আমি আর নেই।আমার জন্য আলো জ্বেলোনা কেউ,
আমি মানুষের সমুদ্রে গুনেছি ঢেউ।
এই স্টেশনের চত্বরে হারিয়ে গেছি,
শেষ ট্রেনে ঘরে ফিরবো না না না (না না না না না না না)এই জাহাজ মাস্তুল ছাড়খাড়,
তবু গল্প লিখছি বাঁচবার।
আমি রাখতে চাইনা আর তার,
কোন রাত-দূপুরের আবদার।
তাই চেষ্টা করছি বারবার,
সাঁতরে পাড় খোঁজার।(না না না না না না না না না না না না না না না……)তোমার রক্তে আছে স্বপ্ন যতো,
তারা ছুটছে রাত্রি-দিন নিজের মতো।
কখনো সময় পেলে একটু ভেবো,
আঙুলের ফাকে আমি কই;হিসেবের ভিড়ে আমি চাইনা ছুঁতে,
যত শুকনো পেয়াজ কলি, ফ্রিজের শীতে;
আমি ওবেলার ডাল-ভাত ফুরিয়ে গিয়েছি,
বিলাসের জলে ভাসব না না না।এই জাহাজ মাস্তুল ছাড়খাড়,
তবু গল্প লিখছি বাঁচবার।
আমি রাখতে চাইনা আর তার,
কোন রাত-দূপুরের আবদার।
তাই চেষ্টা করছি বারবার,
সাঁতরে পাড় খোঁজার।(না না না না না না না না না না না না না না না……)"
 আমার মতে, অনুপম রয়,, দ্বিতীয় পুরুষ, অনুপম রয়, অনুপম রয়,,,,"কতবার তোর বাড়ি গিয়ে ফিরে, ফিরে এলাম
আমার মতে তোর মতন কেউ নেই ।
কতবার তোর জানলা দিয়ে গলে হলুদ খাম,
আমার মতে তোর মতন কেউ নেই ।তোর বাড়ির পথে সারি সারি সৈন্য
যতটা লুকিয়ে কবিতায়
তারও বেশি ধরা পড়ে যায় ।
তোর উঠোন জুড়ে বিশাল অঙ্ক,
কষতে বারণ ছিল তাই,
কিছুই বোঝা গেল না প্রায়।কখনো চটি জামা ছেড়ে রেখে রাস্তায় এসে দাঁড়া।"
 আমি আসবো ফিরে, নীল দত্ত,,,, অঞ্জন দত্ত, নীল দত্ত,, আমি আসবো ফিরে,"হয়তো তৃতীয় বিশ্বযুদ্ধ, লেগে যাবে হঠাৎ
হয়তো নামবে এসিড বৃষ্টি, অসময়ে
হয়তো সূর্যের রঙ হয়ে যাবে ঘোলাটে,
হয়তো গলে যাবে হিমালয়।তবু আসবো আমি তোমার পাড়ায়
ফিরে আসবো আমি তোমার পাড়ায়
তুমি থেকো দাঁড়িয়ে তোমার বারান্দায়
আমি আসবো, ফিরে আসবো তোমার পাড়ায়।হয়তো সূর্যের তাপে ছারখার হয়ে যাবে হেলসিংকি,
হয়তো বরফ পরবে কোলকাতায়,
হয়তো ধূসর হয়ে যাবে দুনিয়ার রঙ।
হয়তো চলবে না গাড়ি রাস্তায়।তবু আসবো আমি তোমার পাড়ায়
ফিরে আসবো আমি তোমার পাড়ায়
তুমি থেকো দাঁড়িয়ে তোমার বারান্দায়
আমি আসবো, ফিরে আসবো তোমার পাড়ায়।দেখো বদলে যেতে হবেই,
বদলায় পদবি
বদলায় ঠিকানা
বদলায় সময়
বদলায় জামার ভিতর সকলের শরীর,
বদলায় চাহিদা শিরায় শিরায়।
কোনটা ভালো, কোনটা খারাপ সেটাও বদলে যায়।
কে হিন্দু, কে জাপানি, কিসের দায়।
যেটাই সত্যি সেটাই থাকবে দাফন হবার পর।
দিন-রাত মিলেমিশে ভোরবেলায়।আমি আসবো ফিরে তোমার পাড়ায়,
ফিরে আসবো আমি তোমার পাড়ায়।
তুমি থাকো বা না থাকো তোমার বারান্দায়।
আমি আসবো, ফিরে আসবো তোমার পাড়ায়।
আমি আসবো, ফিরে তোমার পাড়ায়।
ফিরে আসবো আমি তোমার পাড়ায়।
তুমি থাকো বা না থাকো তোমার বারান্দায়।
আমি আসবো, ফিরে আসবো তোমার পাড়ায়।"
